LAMMPS (29 Aug 2024 - Update 1)
KOKKOS mode with Kokkos version 4.3.1 is enabled (src/KOKKOS/kokkos.cpp:72)
  will use up to 1 GPU(s) per node
  using 20 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
Created orthogonal box = (0 0 0) to (268.73539 268.73539 268.73539)
  1 by 1 by 1 MPI processor grid
Created 16384000 atoms
  using lattice units in orthogonal box = (0 0 0) to (268.73539 268.73539 268.73539)
  create_atoms CPU = 3.173 seconds
atom nlocal : 16384000, nghost : 0, nmax : 16384000
in PairLJCutKokkos::PairLJCutKokkos, addr 0x556bf21b5080
set use_relative_coord to: 0
set prec_type to default precision
perform Pair::init()
PairLJCutKokkos init m_cutsq[1][1] = 5.760000
initialize p_fhcut to: -1.000000, fhcut_value to -1.000000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
cut_sq in NPairKokkos : 5.760000
Neighbor list info ...
  update: every = 20 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.7
  ghost atom cutoff = 2.7
  binsize = 2.7, bins = 100 100 100
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
resize x_rel to 17565863
grow: resize d_neighbors to : 18022400 * 16
resize d_neighbors to : 18022400 * 93
Per MPI rank memory allocation (min/avg/max) = 1.235e+04 | 1.235e+04 | 1.235e+04 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   1.44                -6.77336805325296     0                   -4.61336818508889    -5.01966934428286   
        20   0.629525306554157   -5.50565631892911     0                   -4.56136841673264     1.05610000861946   
        40   0.732232767946919   -5.66241496825542     0                   -4.56406588337295     0.485400277175572  
        60   0.752358411343819   -5.69400404435953     0                   -4.56546649622428     0.355841268245402  
        80   0.75823062072136    -5.70370601408821     0                   -4.56636015242426     0.307614749370567  
       100   0.760701050201159   -5.70790672766205     0                   -4.56685522200457     0.289886452989017  
       120   0.76179684883125    -5.70983863183633     0                   -4.56714342833404     0.284054215447314  
       140   0.761561705376328   -5.70965971205782     0                   -4.56731722371638     0.288364408625856  
       160   0.760976703668431   -5.70889993377493     0                   -4.56743494794178     0.296179196676644  
       180   0.759613633854062   -5.70691394863425     0                   -4.56749356739786     0.30965252959588   
       200   0.758196959009996   -5.70483220651202     0                   -4.56753683741203     0.32384546613134   
       220   0.75669123456907    -5.70258925442645     0                   -4.56755247185        0.338663390731013  
       240   0.755087243436672   -5.7001861081685      0                   -4.5675553121438      0.35412241716935   
       260   0.75326900776421    -5.69745242357291     0                   -4.56754898089043     0.370582751817407  
       280   0.751602722406649   -5.69495950435409     0                   -4.5675554895554      0.386371208302121  
       300   0.749805380766234   -5.69223610364102     0                   -4.5675281011384      0.403076985591739  
       320   0.747970712367569   -5.68948231358501     0                   -4.56752631351242     0.42018198758377   
       340   0.746358975701958   -5.68705139346285     0                   -4.56751299824112     0.43581369516374   
       360   0.744496811967004   -5.68423407172901     0                   -4.56748892193922     0.45309724923842   
       380   0.742634968342628   -5.68140980998517     0                   -4.56745742546149     0.470566571241813  
       400   0.740706779161438   -5.67849187609663     0                   -4.56743177516821     0.488009780673475  
       420   0.739098512233718   -5.6760533544646      0                   -4.56740565378051     0.503115801441269  
       440   0.737156166367867   -5.67310803324837     0                   -4.56737385118523     0.52068567049023   
       460   0.735306879367208   -5.67030034685456     0                   -4.5673400951231      0.537729193372297  
       480   0.733402312219842   -5.66741277878614     0                   -4.56730937760136     0.554795152865803  
       500   0.731873795950922   -5.66509025540991     0                   -4.56727962848857     0.569111852661951  
       520   0.730273630957843   -5.662662185326       0                   -4.56725180574778     0.583742909073712  
       540   0.728737136316293   -5.66032032244761     0                   -4.56721468469105     0.597806672094523  
       560   0.727121923697158   -5.6578622518706      0                   -4.56717943289487     0.612291235572254  
       580   0.725436287589397   -5.65528879296605     0                   -4.56713442799763     0.627481891858985  
       600   0.724146981640813   -5.6533247472881      0                   -4.56710434112451     0.639890916399105  
       620   0.72269096462117    -5.65109932727198     0                   -4.56706294650456     0.653064951527628  
       640   0.721269288610018   -5.64893474825509     0                   -4.56703088137424     0.665538523531111  
       660   0.719760169290866   -5.64663576899423     0                   -4.56699558095395     0.678334012695406  
       680   0.718488682945727   -5.64469156777778     0                   -4.56695860913879     0.689360957224065  
       700   0.717357825319293   -5.642960997134       0                   -4.56692432483113     0.699898728457299  
       720   0.716120470722935   -5.64105717522233     0                   -4.56687653470072     0.710723019836305  
       740   0.714966709487218   -5.63928594290851     0                   -4.56683594413484     0.720612472582402  
