LAMMPS (29 Aug 2024 - Update 1)
KOKKOS mode with Kokkos version 4.3.1 is enabled (src/KOKKOS/kokkos.cpp:72)
  will use up to 1 GPU(s) per node
  using 20 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
Created orthogonal box = (0 0 0) to (268.73539 268.73539 268.73539)
  1 by 1 by 1 MPI processor grid
Created 16384000 atoms
  using lattice units in orthogonal box = (0 0 0) to (268.73539 268.73539 268.73539)
  create_atoms CPU = 1.543 seconds
atom nlocal : 16384000, nghost : 0, nmax : 16384000
in PairLJCutKokkos::PairLJCutKokkos, addr 0x556abdeab960
set use_relative_coord to: 0
set prec_type to default precision
perform Pair::init()
PairLJCutKokkos init m_cutsq[1][1] = 12.960000
initialize p_fhcut to: -1.000000, fhcut_value to -1.000000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
cut_sq in NPairKokkos : 12.960000
Neighbor list info ...
  update: every = 20 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.9
  ghost atom cutoff = 3.9
  binsize = 3.9, bins = 69 69 69
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
resize x_rel to 17918936
grow: resize d_neighbors to : 18022400 * 16
resize d_neighbors to : 18022400 * 240
Per MPI rank memory allocation (min/avg/max) = 1.261e+04 | 1.261e+04 | 1.261e+04 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   1.44                -7.07931463009169     0                   -4.91931476192763    -5.53528363447999   
        20   0.629707100729676   -5.85251609374475     0                   -4.90795550030164     0.471234703578442  
        40   0.732430006596114   -6.00732671683223     0                   -4.90868177399403    -0.0930963436418749 
        60   0.752378089493329   -6.03726763477387     0                   -4.90870056941615    -0.218658356124702  
        80   0.758271396823201   -6.04601139012826     0                   -4.90860436431528    -0.265052654442269  
       100   0.76073364185324    -6.0496250350248      0                   -4.90852464189219    -0.281720547691303  
       120   0.761860218531105   -6.05125473710326     0                   -4.90846447905699    -0.287210524614957  
       140   0.761644365342209   -6.05088674664489     0                   -4.9084202683622     -0.282715810927402  
       160   0.761099192839569   -6.05003419573057     0                   -4.90838547615193    -0.27500880736075   
       180   0.75975576965494    -6.0479894583943      0                   -4.90835587346961    -0.261596331771373  
       200   0.758358961544788   -6.04587005048613     0                   -4.90833167759878    -0.247422833721372  
       220   0.756908072939126   -6.04366862108156     0                   -4.90830658096987    -0.233022967292291  
       240   0.755323129995662   -6.04127012548553     0                   -4.90828549964394    -0.217740296799556  
       260   0.75361394418106    -6.03868430932735     0                   -4.90826346205117    -0.201909340694027  
       280   0.751774899508814   -6.03590590493184     0                   -4.90824362449566    -0.185259350070963  
       300   0.750079248989784   -6.03334305433843     0                   -4.90822424952556    -0.169129113064173  
       320   0.748270569336573   -6.03060894554003     0                   -4.90820316004138    -0.152456360221688  
       340   0.746486663563728   -6.02790940156754     0                   -4.90817947456484    -0.13570437476977   
       360   0.744699936975157   -6.02520725966422     0                   -4.9081574223808     -0.119065550017006  
       380   0.742892138546747   -6.02247382712733     0                   -4.90813568732101    -0.102544292593612  
       400   0.740934489876047   -6.01951452537253     0                   -4.90811285839304    -0.0849164036497422 
       420   0.739124557513093   -6.01677844609929     0                   -4.90809167749853    -0.0684987925606189 
       440   0.737701557100372   -6.01462236786601     0                   -4.90807009975405    -0.0545192354031405 
       460   0.735826127647355   -6.01178737637374     0                   -4.9080482522696     -0.0375741905859247 
       480   0.734191466029854   -6.00931174542523     0                   -4.90802461359769    -0.0221140926304799 
       500   0.732394465585002   -6.00659306372742     0                   -4.90800143240263    -0.00636334121615142
       520   0.730797818766536   -6.00417720327143     0                   -4.90798054202816     0.00826915608735681
       540   0.729180332426304   -6.00172705666213     0                   -4.90795662478112     0.0226041048608955 
       560   0.727559956358138   -5.99927348666848     0                   -4.90793361874138     0.0369814369730211 
       580   0.726120344619379   -5.99709184794482     0                   -4.90791139749406     0.050251201167095  
       600   0.72447042655395    -5.99459766977541     0                   -4.90789209627174     0.0647114559314007 
       620   0.723215158850292   -5.99269480399332     0                   -4.9078721319302      0.0763488509652755 
       640   0.721489966560752   -5.99008491778808     0                   -4.90785003400133     0.0909400310432083 
       660   0.720279783530843   -5.9882515281275      0                   -4.90783191877482     0.101857073239051  
       680   0.718872011255216   -5.98612188357381     0                   -4.90781393250569     0.113897546306692  
       700   0.717733702465446   -5.98439533819267     0                   -4.90779485020498     0.123860463575077  
       720   0.716576598840564   -5.98264344265672     0                   -4.90777861000042     0.133996118217263  
       740   0.715577657753716   -5.98112865206496     0                   -4.90776223094747     0.142653550265867  
       760   0.714213890507973   -5.97906865636506     0                   -4.90774788599133     0.153563245519516  
       780   0.713432118642229   -5.97788116766699     0                   -4.90773305502031     0.160405941628654  
       800   0.712436992046174   -5.97637590387138     0                   -4.90772048102767     0.169145841570876  
       820   0.711487009453499   -5.97493971366181     0                   -4.90770926462014     0.177398007149093  
       840   0.710433263298746   -5.97334772676265     0                   -4.90769789685664     0.18558959290442   
       860   0.709721887322531   -5.97226745095248     0                   -4.90768468494566     0.191716807468312  
       880   0.708984287574093   -5.97115254547589     0                   -4.9076761790242      0.19724107852878   
       900   0.708192894287967   -5.96995513007462     0                   -4.90766585347967     0.203330136386812  
       920   0.707458522789899   -5.96884484576272     0                   -4.90765712634763     0.209308003923883  
       940   0.706910511157409   -5.96801465176466     0                   -4.90764894974814     0.213921226284771  
       960   0.706206171553971   -5.96695213570195     0                   -4.9076429430261      0.219316726960428  
       980   0.705684812253282   -5.9661641427439      0                   -4.90763698897135     0.223180989654179  
      1000   0.705179209994905   -5.96539885439278     0                   -4.9076301039615      0.227098605886685  
      1020   0.70461653705726    -5.96454997467449     0                   -4.90762523359817     0.231318230981324  
      1040   0.704294790446178   -5.9640623380182      0                   -4.90762021682905     0.233980544639092  
      1060   0.703857783640403   -5.96340194864326     0                   -4.90761533762276     0.237336919749316  
      1080   0.703555787884826   -5.96294628191142     0                   -4.90761266449664     0.239913927382896  
      1100   0.70308916974083    -5.96224056234532     0                   -4.90760687210381     0.243295031303872  
      1120   0.702602509159964   -5.961507912814       0                   -4.90760421339923     0.246695967843101  
      1140   0.702449218836915   -5.96127534992597     0                   -4.90760158598174     0.248144725253119  
      1160   0.701931046181137   -5.96049389244852     0                   -4.90759738744052     0.251801332133904  
      1180   0.70182446201229    -5.96033358170162     0                   -4.90759695293714     0.252342022905882  
      1200   0.701616998133582   -5.96002103465541     0                   -4.90759560168999     0.254005065846031  
      1220   0.701349457203126   -5.95961652704859     0                   -4.90759240545437     0.256101082361835  
      1240   0.700954401459001   -5.95902487746803     0                   -4.90759333945382     0.258655290723189  
      1260   0.700872401883971   -5.95889968754539     0                   -4.90759114888622     0.259357545046834  
      1280   0.700779617576474   -5.95876054411618     0                   -4.90759118190976     0.260222785139855  
      1300   0.700625604826288   -5.95852610570916     0                   -4.90758776261392     0.261413077063749  
      1320   0.700257431203762   -5.95797469265639     0                   -4.90758860996123     0.263762678986034  
      1340   0.700215437908994   -5.95791164060458     0                   -4.90758854784772     0.263971004868241  
      1360   0.700092656416179   -5.95772671451172     0                   -4.90758779398285     0.264488257551191  
      1380   0.69997955438881    -5.95755703471974     0                   -4.90758776722157     0.265088076265767  
      1400   0.69987621746885    -5.95740050607508     0                   -4.90758624394739     0.266018166910191  
      1420   0.699758262880087   -5.95722399917591     0                   -4.90758666892056     0.266758170428879  
      1440   0.699769862705968   -5.95724057061734     0                   -4.90758584062423     0.266648055814811  
      1460   0.699628374173867   -5.95702888053511     0                   -4.9075863833272      0.267574725868409  
      1480   0.699602442615797   -5.95699097606053     0                   -4.90758737618735     0.267903383357289  
      1500   0.699396460550308   -5.9566831104035      0                   -4.90758848360969     0.269139842323205  
      1520   0.699349466715237   -5.95661315876227     0                   -4.90758902271677     0.269523597163759  
