LAMMPS (29 Aug 2024 - Update 1)
KOKKOS mode with Kokkos version 4.3.1 is enabled (src/KOKKOS/kokkos.cpp:72)
  will use up to 1 GPU(s) per node
  using 20 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
Created orthogonal box = (0 0 0) to (268.73539 268.73539 268.73539)
  1 by 1 by 1 MPI processor grid
Created 16384000 atoms
  using lattice units in orthogonal box = (0 0 0) to (268.73539 268.73539 268.73539)
  create_atoms CPU = 3.295 seconds
atom nlocal : 16384000, nghost : 0, nmax : 16384000
in PairLJCutKokkos::PairLJCutKokkos, addr 0x55f612306b40
set use_relative_coord to: 1
set prec_type to half-float mixed precision
set p_fhcut to: 0.800000
set neigh_sep_strategy to TWO_END_NEIGH_INT2
perform Pair::init()
PairLJCutKokkos init m_cutsq[1][1] = 16.000000
initialize p_fhcut to: 0.800000, fhcut_value to 3.200000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
cut_sq in NPairKokkos : 16.000000
Neighbor list info ...
  update: every = 20 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.3
  ghost atom cutoff = 4.3
  binsize = 4.3, bins = 63 63 63
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
resize x_rel to 18279106
lazy init ev_array
lazy init x_float_rel
x_float_rel extent : 18279106, 3
lazy init x_half_rel_xonly
x_half_rel_xonly extent : 18279106
Per MPI rank memory allocation (min/avg/max) = 1.286e+04 | 1.286e+04 | 1.286e+04 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   1.44                -7.10922853256207     0                   -4.94922866439801    -5.58578352349892   
        20   0.629365413961374   -5.89136346597536     0                   -4.94731540265342     0.40416804387781   
        40   0.732099273656045   -6.04663685341717     0                   -4.9484880099588     -0.161317595408939  
        60   0.752035403092541   -6.07686656858486     0                   -4.94881353279694    -0.28723492178847   
        80   0.757908981735496   -6.0858183182281      0                   -4.94895491501349    -0.333864127097964  
       100   0.760362616383955   -6.08958683250445     0                   -4.9490429775418     -0.35075896688703   
       120   0.761488787919972   -6.09133523738301     0                   -4.94910212521943    -0.356466380856898  
       140   0.761275645780959   -6.09105937144659     0                   -4.94914597247202    -0.352158014923178  
       160   0.760740493746421   -6.09029636081044     0                   -4.94918568983868    -0.344658107281642  
       180   0.759398466919717   -6.088317383844       0                   -4.94921975298943    -0.331374575638172  
       200   0.758012266861405   -6.08627134661049     0                   -4.94925301571648    -0.317378424496298  
       220   0.756561614925347   -6.08412697705118     0                   -4.94928462392844    -0.303086576774207  
       240   0.754985756705038   -6.08179364856209     0                   -4.94931508262554    -0.287940282858198  
       260   0.753277913478602   -6.07926227127218     0                   -4.94934547001893    -0.272209183362427  
       280   0.751445500213967   -6.07654515002418     0                   -4.94937696850011    -0.255661348388211  
       300   0.74975040212695    -6.07403550985936     0                   -4.94940997531063    -0.239602689842676  
       320   0.747966103280173   -6.07139086765414     0                   -4.94944178121223    -0.223168387530879  
       340   0.746181860604359   -6.06874690819395     0                   -4.9494741856024     -0.206550706739977  
       360   0.744429612994639   -6.06614955534126     0                   -4.94950520400387    -0.190195776249779  
       380   0.742479238711399   -6.06325645130006     0                   -4.94953766120897    -0.172986730535321  
       400   0.740688674829926   -6.06060158957621     0                   -4.94956864514339    -0.156631949106625  
       420   0.738896647207408   -6.05794596380203     0                   -4.94960106063893    -0.140105426687421  
       440   0.737411374987431   -6.05574940048761     0                   -4.94963240551849    -0.125878996776301  
       460   0.735516616885248   -6.05293905646427     0                   -4.94966419847495    -0.109007161306769  
       480   0.733802154940596   -6.05039726895596     0                   -4.94969410372666    -0.0934981510202379 
       500   0.732042089231712   -6.04778891172442     0                   -4.94972584489731    -0.0777691270894765 
       520   0.730390218410507   -6.04534083244361     0                   -4.94975557169707    -0.0625163668829252 
       540   0.728863271467327   -6.0430799191636      0                   -4.94978507869203    -0.0482026955501978 
       560   0.727379967197107   -6.04088359865392     0                   -4.94981371445188    -0.0352460525741753 
       580   0.725741484959612   -6.03845231974591     0                   -4.94984015875011    -0.0210498045343656 
       600   0.724327379661331   -6.03636016729071     0                   -4.94986916411287    -0.00836970453234406
       620   0.722815616269755   -6.03411781609176     0                   -4.94989445786288     0.0052241601415698 
       640   0.721271493003239   -6.03182757941808     0                   -4.9499204059476      0.0183181370514489 
       660   0.719967686342588   -6.02989599192213     0                   -4.94994452832326     0.0294595333053033 
       680   0.718825859865195   -6.02820566761908     0                   -4.94996694363176     0.0396079133329298 
       700   0.717492482947062   -6.02622794850386     0                   -4.94998928977167     0.0507974747303087 
       720   0.716277868756028   -6.02442780331676     0                   -4.95001106575992     0.0614354884946442 
       740   0.715221706134405   -6.02286310657355     0                   -4.95003061285245     0.0709399871586891 
       760   0.714052619456061   -6.02112635411398     0                   -4.95004749030336     0.0805839008509765 
       780   0.712924510001786   -6.01945042922332     0                   -4.95006372949083     0.0895919811257438 
       800   0.712145987444725   -6.01830037413285     0                   -4.95008145816468     0.096714385703653  
       820   0.711119124799077   -6.0167743736851      0                   -4.95009575159139     0.104791982278429  
       840   0.710213586153257   -6.01543012070035     0                   -4.95010980649246     0.112250575154399  
       860   0.709498859214597   -6.01437125586954     0                   -4.9501230320042      0.11793665654064   
       880   0.708688086433166   -6.01316735231183     0                   -4.95013528754441     0.124267692686927  
       900   0.707947872583183   -6.01206832354726     0                   -4.95014657948705     0.130474871203874  
       920   0.707174481753053   -6.01091823791296     0                   -4.95015658002714     0.13666850509169   
       940   0.706497344023496   -6.00991253477198     0                   -4.9501665834185      0.141980970164108  
       960   0.705882500843408   -6.0089989142278      0                   -4.95017522758816     0.146807333259811  
       980   0.70539744827976    -6.00827885628849     0                   -4.95018274844991     0.150397452547244  
      1000   0.704811225908856   -6.00740744690205     0                   -4.95019067256617     0.154886113821169  
      1020   0.704380522168007   -6.00676864626952     0                   -4.95019792750547     0.158440286589671  
      1040   0.70387623232903    -6.00601709772012     0                   -4.95020281366837     0.162254407556396  
      1060   0.703489005668195   -6.00544142629063     0                   -4.95020798219468     0.164940809845533  
      1080   0.702836890391961   -6.00446824501171     0                   -4.95021297377041     0.169771517983619  
      1100   0.702709778037171   -6.004282501006       0                   -4.95021789828524     0.171556864217871  
      1120   0.702336954981388   -6.00372791710798     0                   -4.95022254893677     0.174328223987197  
      1140   0.701927173269889   -6.00311546060455     0                   -4.95022476496306     0.176995502105567  
      1160   0.701651812861231   -6.00270674541716     0                   -4.95022909036346     0.178839025500126  
      1180   0.701423996644465   -6.00236836455783     0                   -4.95023243380842     0.180799972385529  
      1200   0.701006906091951   -6.00174473307457     0                   -4.95023443811574     0.184123570219785  
      1220   0.700963334991817   -6.00168245708763     0                   -4.95023751877501     0.184420702779837  
      1240   0.700789071023839   -6.00142265187072     0                   -4.95023910949412     0.18539805390766   
      1260   0.700290664179676   -6.00067712521716     0                   -4.95024119306117     0.188430442969853  
      1280   0.700163143091963   -6.00048786895662     0                   -4.95024321842052     0.189608960698214  
      1300   0.700118651449696   -6.00042328583548     0                   -4.95024537275871     0.189773258533415  
      1320   0.699923969029293   -6.00013311163853     0                   -4.95024722217455     0.191327723426123  
      1340   0.699880211256303   -6.00006874884681     0                   -4.95024849603831     0.191386712982985  
      1360   0.69969973260373    -5.99980023743224     0                   -4.95025070258607     0.19277315612382   
      1380   0.699606341415762   -5.999661365677       0                   -4.95025191760423     0.193460522011309  
      1400   0.699336862486035   -5.99925674682945     0                   -4.95025151712659     0.195495580106235  
      1420   0.699280578381398   -5.99917430570967     0                   -4.95025350215862     0.195770330716594  
      1440   0.699076255869564   -5.99886784087164     0                   -4.95025352106964     0.196939575284715  
      1460   0.699043451458863   -5.99881921173476     0                   -4.9502540985458      0.196845445290666  
      1480   0.699159933875481   -5.99899524576054     0                   -4.95025540895732     0.196157482203757  
      1500   0.69904019050209    -5.99881611438089     0                   -4.9502558926268      0.196907524421504  
      1520   0.698902374450617   -5.99861059013769     0                   -4.95025709244819     0.19771008491448   
      1540   0.698902033056997   -5.99861079511337     0                   -4.95025780951427     0.197446887575885  
      1560   0.698731697382552   -5.99835602306686     0                   -4.95025854096383     0.198669345584532  
      1580   0.698725832380556   -5.99834708280317     0                   -4.9502583982026      0.198993695887698  
      1600   0.698659531379071   -5.99824767848437     0                   -4.95025844537995     0.199281062929584  
      1620   0.69848154963402    -5.99798077389582     0                   -4.95025851339268     0.200169649518538  
      1640   0.698668854230481   -5.99826353411774     0                   -4.95026031673706     0.199726874425542  
      1660   0.698800064000719   -5.99846170225868     0                   -4.95026167023466     0.19847643236935   
      1680   0.698676240184464   -5.99827474207317     0                   -4.9502604457622      0.198793166689019  
      1700   0.698391280378419   -5.99784729871526     0                   -4.95026044208726     0.200772748508123  
      1720   0.698300179603115   -5.99771097305851     0                   -4.95026076758513     0.201311929358183  
      1740   0.698435458353842   -5.99791550079947     0                   -4.95026237721239     0.200484913780852  
      1760   0.698576926945141   -5.99812778304697     0                   -4.95026245658589     0.199465057499015  
      1780   0.698302700504505   -5.99771811631925     0                   -4.95026412949401     0.200941920490584  
      1800   0.698375772634215   -5.9978283908161      0                   -4.95026479580299     0.201055380161912  
      1820   0.698518089076916   -5.99804240074734     0                   -4.95026533108321     0.200132804212599  
      1840   0.698359958616416   -5.99780538445369     0                   -4.95026551046583     0.201404378889498  
      1860   0.698458378027497   -5.99795315555934     0                   -4.95026565246387     0.200719928535844  
      1880   0.698268963027853   -5.99766991965423     0                   -4.95026653904088     0.201388541304361  
      1900   0.698362917399249   -5.99781075384313     0                   -4.95026644168129     0.200604753562168  
      1920   0.698341539064064   -5.99777952647453     0                   -4.95026728181351     0.200931229770609  
      1940   0.69844425768118    -5.99793382044778     0                   -4.95026749787049     0.200444920356252  
      1960   0.698365590326297   -5.99781624213673     0                   -4.95026792058457     0.200578635153999  
      1980   0.698452951532416   -5.9979484266257      0                   -4.95026906327236     0.200112024464819  
      2000   0.698209172848495   -5.99758319761362     0                   -4.95026950226383     0.201729284740483  
      2020   0.698392101222135   -5.99785867135315     0                   -4.95027058345965     0.200393733006412  
      2040   0.698377714798844   -5.99783731343136     0                   -4.95027080517149     0.200727323618832  
      2060   0.698296323160159   -5.99771457918657     0                   -4.95027015837727     0.201212522659311  
      2080   0.698259559605891   -5.99765971386523     0                   -4.95027043838397     0.201136852873598  
      2100   0.698380101716422   -5.99784163092594     0                   -4.95027154228992     0.200771215864256  
      2120   0.698383559665011   -5.9978488075615      0                   -4.9502735320029      0.200557109161422  
      2140   0.698369444082317   -5.99782709798919     0                   -4.95027299580335     0.200265123778233  
      2160   0.698293685642979   -5.9977132130345      0                   -4.95027274850073     0.201118817246312  
      2180   0.6983940055522     -5.99786451776052     0                   -4.9502735733721      0.200160158351517  
      2200   0.698135990227836   -5.99747726844308     0                   -4.95027334701759     0.201834259609065  
      2220   0.698374116116597   -5.9978351222848      0                   -4.95027401204797     0.200722762024524  
      2240   0.698380076765864   -5.99784493256764     0                   -4.95027488135745     0.200231224233329  
      2260   0.698206466389612   -5.99758448398883     0                   -4.95027484832712     0.201321721184478  
      2280   0.698161702603614   -5.99751745458109     0                   -4.95027496459428     0.201545093492363  
      2300   0.698409426008333   -5.99789041140442     0                   -4.95027633633321     0.200135911157511  
      2320   0.69832064931645    -5.99775921163188     0                   -4.95027830159037     0.200775471226886  
      2340   0.69824148028569    -5.99763995920925     0                   -4.95027780270664     0.201390787363772  
      2360   0.698360558006838   -5.9978200103472      0                   -4.95027923727376     0.200553835621902  
      2380   0.698312032907223   -5.99774708759957     0                   -4.95027910217111     0.20065762391828   
      2400   0.698278900124688   -5.99769799794796     0                   -4.95027971169027     0.201162081939536  
      2420   0.698326125114287   -5.99776915213848     0                   -4.95028002840072     0.200811708607169  
      2440   0.698186654294998   -5.99756036073007     0                   -4.95028044320847     0.201413630044015  
      2460   0.698295827434415   -5.99772481210884     0                   -4.95028113488811     0.200843175988089  
      2480   0.698404942623534   -5.99788828794273     0                   -4.95028093794832     0.19997325091109   
      2500   0.69836313031215    -5.99782715848065     0                   -4.95028252694948     0.200402937555113  
      2520   0.698163242169177   -5.99752781867588     0                   -4.95028301934087     0.201753129267445  
      2540   0.698275000154012   -5.99769602606038     0                   -4.95028358975835     0.200904399102752  
      2560   0.698244697480563   -5.99765132009666     0                   -4.95028433780203     0.201276872978241  
      2580   0.698248372209906   -5.99765721970945     0                   -4.95028472532113     0.201624690472797  
      2600   0.698095060102297   -5.99742740421623     0                   -4.9502848779753      0.2026658470569    
      2620   0.698223096686977   -5.99761954188439     0                   -4.95028496077816     0.201687869150356  
      2640   0.698338071043349   -5.99779318199921     0                   -4.95028613936894     0.201096866279108  
      2660   0.69826679000551    -5.99768616566695     0                   -4.95028604458692     0.20138654531597   
      2680   0.698531517250489   -5.99808359386464     0                   -4.95028638194137     0.199273086049528  
      2700   0.698335153087148   -5.99779017375291     0                   -4.95028750805668     0.200061803334464  
      2720   0.698246832833345   -5.99765874617335     0                   -4.95028856084974     0.201087223578964  
      2740   0.698258354503687   -5.99767592014661     0                   -4.95028845231855     0.200978161808474  
      2760   0.69814848366894    -5.99751152924332     0                   -4.95028886765732     0.201975075228942  
      2780   0.698327601690699   -5.99778059818103     0                   -4.95028925957878     0.201078957694192  
      2800   0.698333641279383   -5.99779009665605     0                   -4.95028969867133     0.200812009932467  
      2820   0.698233301697443   -5.99763912097399     0                   -4.950289232353       0.201395269474797  
      2840   0.69815719853733    -5.99752711081376     0                   -4.95029137692597     0.201660613159314  
      2860   0.698246434925632   -5.9976608771164      0                   -4.95029128865432     0.20090046401589   
      2880   0.698321302407925   -5.99777489280767     0                   -4.95029300312901     0.200550318845473  
      2900   0.698292288930443   -5.9977313213155      0                   -4.9502929518504      0.200763011311055  
      2920   0.698223576014406   -5.99762870737852     0                   -4.95029340728119     0.201210341539055  
      2940   0.698209129078893   -5.99760766160842     0                   -4.95029403191304     0.201273506828034  
      2960   0.698222578859129   -5.99762834126363     0                   -4.95029453689913     0.201299754581908  
      2980   0.698272676601734   -5.99770304003537     0                   -4.95029408906154     0.201031845959381  
      3000   0.698249796928197   -5.99767016273634     0                   -4.95029553127072     0.201423509357346  
      3020   0.698173560527312   -5.99755560288126     0                   -4.95029532600999     0.201410201176959  
      3040   0.698376482500952   -5.99786141150278     0                   -4.95029675168963     0.200063831588327  
      3060   0.698303244580256   -5.99775253145184     0                   -4.95029772851302     0.200669627584042  
      3080   0.698297407151481   -5.99774337827576     0                   -4.95029733147958     0.200227329151379  
      3100   0.698305228622755   -5.99775534068584     0                   -4.95029756168346     0.200097576621354  
      3120   0.698265136028799   -5.9976957339129      0                   -4.95029809379778     0.200453687740733  
      3140   0.698289416720075   -5.99773242604222     0                   -4.95029836489241     0.200504029365831  
      3160   0.698239128547916   -5.99765784579432     0                   -4.95029921689815     0.200642824554071  
      3180   0.698213417172956   -5.99762005217583     0                   -4.95029999033975     0.201023056777165  
      3200   0.698329201823199   -5.99779349387659     0                   -4.95029975507574     0.200236154965811  
      3220   0.698379235840937   -5.99787042474308     0                   -4.9503016349202      0.20013598283172   
      3240   0.69813771337555    -5.99750874074199     0                   -4.95030223459508     0.202042866101013  
      3260   0.698273924169885   -5.99771348225519     0                   -4.95030265992925     0.201177157465765  
      3280   0.698335285390882   -5.99780586955068     0                   -4.95030300539886     0.200687510978204  
      3300   0.698217229416063   -5.99762903301301     0                   -4.95030325281261     0.201210106263454  
      3320   0.698248554658732   -5.99767600297945     0                   -4.95030323491792     0.200993873225781  
      3340   0.698250949349201   -5.99767975451429     0                   -4.95030339441727     0.200850818939386  
      3360   0.698319648743239   -5.99778364185094     0                   -4.95030423266915     0.200351513396153  
      3380   0.698266535193512   -5.99770399439392     0                   -4.95030425553186     0.200803071166083  
      3400   0.698224419038375   -5.99764254304901     0                   -4.9503059784158      0.200966001320264  
      3420   0.698361940888014   -5.99784874073079     0                   -4.95030589333571     0.200051840793461  
      3440   0.698070744059753   -5.99741201420247     0                   -4.95030596202313     0.202175872235622  
      3460   0.69810043620873    -5.99745668543337     0                   -4.95030609503328     0.201899298418394  
      3480   0.698352722039871   -5.99783652720604     0                   -4.95030750808233     0.200106236893393  
      3500   0.698255888753217   -5.99769229745405     0                   -4.95030852825146     0.200637367982128  
      3520   0.698269787207187   -5.9977148669154      0                   -4.95031025003313     0.200903823440105  
      3540   0.698188463709528   -5.99759239869419     0                   -4.95030976705096     0.201418120069699  
      3560   0.698455457598242   -5.99799370704639     0                   -4.95031058459453     0.199278190588343  
      3580   0.698175947106472   -5.99757401169992     0                   -4.95031015496013     0.201256100869825  
      3600   0.698297039591491   -5.9977561670451      0                   -4.95031067158887     0.200557685174675  
      3620   0.698257551283611   -5.99769745230634     0                   -4.95031118930831     0.201038534267436  
      3640   0.698145241089513   -5.99752997876097     0                   -4.95031218104381     0.201537699994603  
