LAMMPS (29 Aug 2024 - Update 1)
KOKKOS mode with Kokkos version 4.3.1 is enabled (src/KOKKOS/kokkos.cpp:72)
  will use up to 1 GPU(s) per node
  using 20 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
Created orthogonal box = (0 0 0) to (134.3677 134.3677 134.3677)
  1 by 1 by 1 MPI processor grid
Created 2048000 atoms
  using lattice units in orthogonal box = (0 0 0) to (134.3677 134.3677 134.3677)
  create_atoms CPU = 0.195 seconds
atom nlocal : 2048000, nghost : 0, nmax : 2048000
in PairLJCutKokkos::PairLJCutKokkos, addr 0x55f1705f9320
set use_relative_coord to: 0
set prec_type to half precision
perform Pair::init()
PairLJCutKokkos init m_cutsq[1][1] = 16.000000
initialize p_fhcut to: -1.000000, fhcut_value to -1.000000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
cut_sq in NPairKokkos : 16.000000
Neighbor list info ...
  update: every = 20 steps, delay = 0 steps, check = no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.3
  ghost atom cutoff = 4.3
  binsize = 4.3, bins = 32 32 32
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
resize x_rel to 2523927
lazy init ev_array
lazy init x_float_rel
x_float_rel extent : 2523927, 3
lazy init x_half
x_half extent : 2523927
Per MPI rank memory allocation (min/avg/max) = 1786 | 1786 | 1786 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   1.44                -7.07928337014786     0                   -4.91928442483536    -5.35703887073926   
         1   1.43753939624136    -7.07678457036718     0                   -4.92047652889045    -5.35108757866768   
         2   1.43014380772429    -7.06970721605265     0                   -4.92449255193482    -5.31752442830164   
         3   1.41738334999599    -7.05173609087244     0                   -4.92566210400103    -5.21550325402109   
         4   1.3985071337606     -7.02249586896075     0                   -4.92473619261707    -5.05236058695042   
         5   1.37295716891447    -6.98537393647418     0                   -4.92593918868633    -4.84880535419645   
         6   1.33980453802765    -6.93596052582044     0                   -4.92625470008112    -4.58202870840638   
         7   1.29772314549163    -6.871858847081       0                   -4.92527507932437    -4.24814388098814   
         8   1.24556627931509    -6.79072666840822     0                   -4.92237816171558    -3.84432595521941   
         9   1.18290748844677    -6.69526345113726     0                   -4.92090308485442    -3.38650584623046   
        10   1.11024541354457    -6.58283190275004     0                   -4.91746459560121    -2.86230859246655   
        11   1.02956705020592    -6.45857961748909     0                   -4.91422979625764    -2.29950532822465   
        12   0.94485892047958    -6.32703752023126     0                   -4.90974983154723    -1.71476957395409   
        13   0.861678985343967   -6.19620408063596     0                   -4.90368623373255    -1.13864967180011   
        14   0.786323039428105   -6.07624141386235     0                   -4.89675743064039    -0.607959111768764  
        15   0.724196781857098   -5.97709377213839     0                   -4.8907991297703     -0.160707060785893  
        16   0.678475263584536   -5.90558176798969     0                   -4.88786936954301     0.176460820228109  
        17   0.649751915226586   -5.86104355292965     0                   -4.88641615598228     0.404876426259876  
        18   0.636626202470599   -5.84115575643784     0                   -4.8862169190109      0.532233710055423  
        19   0.636292189750092   -5.84018165392488     0                   -4.88574383533406     0.580336470735306  
